S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code
657,221930,1,MEENANGADI,മീനങ്ങാടി,3,Village Panchayat,6405
658,221282,2,MEENJA,മീഞ്ച,3,Village Panchayat,6305
659,221656,1,MELARCODE,മേലാര്‍കോട്,3,Village Panchayat,6362
660,221558,1,MELATTUR,മേലാറ്റൂര്‍,3,Village Panchayat,6347
661,221358,1,MELILA,മേലില,3,Village Panchayat,6317
662,221364,1,MELUKAVU,മേലുകാവ്,3,Village Panchayat,6318
663,221832,2,MELUR,"മേലൂര്&zwj,",3,Village Panchayat,6388
664,221914,4,MEPPADI,മേപ്പാടി,3,Village Panchayat,6403
665,221480,1,MEPPAYUR,മേപ്പയൂര്‍,3,Village Panchayat,6335
666,221719,1,MEZHUVELI,മെഴുവേലി,3,Village Panchayat,6372
667,221273,3,MOGRAL PUTHUR,മൊഗ്രാല്‍ പുത്തൂര്‍,3,Village Panchayat,6304
668,221210,1,MOKERI,മൊകേരി,3,Village Panchayat,6883
669,221487,1,MOODADI,മൂടാടി,3,Village Panchayat,6336
670,221051,1,MOOKKANNUR,മൂക്കന്നൂര്‍,3,Village Panchayat,6273
671,221365,1,MOONILAVU,മൂന്നിലവ്,3,Village Panchayat,6318
672,221583,1,MOONNIYUR,മൂന്നിയൂര്‍,3,Village Panchayat,6352
673,221541,2,MOORKKANAD,മൂര്‍ക്കനാട്,3,Village Panchayat,6345
674,221551,3,MOOTHADEM,മൂത്തേടം,3,Village Panchayat,6346
675,221531,1,MORAYUR,മൊറയൂര്‍,3,Village Panchayat,6344
676,221761,2,MUDAKKAL,മുദാക്കല്‍,3,Village Panchayat,6377
677,221058,1,MUDAKUZHA,മുടക്കുഴ,3,Village Panchayat,6275
678,239029,1,MUDUVALUR,മുതുവല്ലൂര്‍,3,Village Panchayat,6342
679,221009,5,MUHAMMA,മുഹമ്മ,3,Village Panchayat,6261
